Session Type,Topic,Session Date,Session Time,Session Title,Session Duration (in mins),Audi / Space Name (where session will be held),Speaker Name,Company Name
General,Introduction,6th May 2021,0855 - 0900,Introduction to Session,5,Zoom,Lim Kah Leong | Zhang Suchun,?
General,Key Note,6th May 2021,0900 - 0930,Keynote Address: Parkinson’s Disease Pathogenesis and Disease Modification,30,Zoom,Ted M. Dawson,"John Hopkins University, School of Medicine, USA"
General,Seminar,6th May 2021,0930 - 1000,Understanding the Pleomorphic Risk Locus Containing LRRK2 Associated with Parkinson’s Disease,30,Zoom,Mark Cookson,"National Institute of Health, USA"
General,Seminar,6th May 2021,1000 - 1030,Preclinical Assessment of Cell-Based Therapies for Parkinson Disease,30,Zoom,Marina Emborg,"University of Wisconsin, USA"
General,Seminar,6th May 2021,1030 - 1100,Development and Diversity of Dopamine neurons: Implications for Parkinson's Disease,30,Zoom,Rajeshwar Awatramani,"Northwestern University, USA"
General,QnA,6th May 2021,1100 - 1130,Question & Answer Session,30,Zoom,?,?
General,Introduction,6th May 2021,1325 - 1330,Introduction to Session,5,Zoom,Zhang Suchun | Zeng Li,?
General,Seminar,6th May 2021,1330 - 1400,Identification of Lewy Body Inclusions in Human Midbrain Organoids,30,Zoom,Shawn Je,"Duke-NUS Medical School, Singapore"
General,Seminar,6th May 2021,1400 - 1430,Understanding Stem Cell Therapy in Parkinson Disease Through Cell Assessment and Imaging Modalities,30,Zoom,Zeng Li,"National Neuroscience Institute, Singapore"
General,Seminar,6th May 2021,1430 - 1500,Impaired Synaptic Membrane Trafficking in Parkinson Disease,30,Zoom,Cao Mian,"Duke-NUS Medical School, Singapore"
General,Introduction,6th May 2021,1555 - 1600,Introduction to Session,5,Zoom,Lim Kah Leong | Tan Eng King,?
General,Seminar,6th May 2021,1600 - 1630,Glial Contributions in TDP-43-Related Neurodegeneration,5,Zoom,Ling Shuo Chien,"NUS Yong Loo Lin School of Medicine, Singapore"
General,Seminar,6th May 2021,1630 - 1700,New Technologies to Treat Parkinson Disease,30,Zoom,Paul Matthews,"Imperial College London, UK"
General,Seminar,6th May 2021,1700 - 1730,Presentation by Junior Principal Investigators ,30,Zoom,Alfred Sun | Aaron Foo,"National Neuroscience Institute, Singapore | National University Hospital Singapore, Singapore"
General,QnA,6th May 2021,1730 - 1800,Question & Answer Session,30,Zoom,?,?
Parallel,PS A: Biomarkers for Parkinson Disease and Parkinsonism,6th May 2021,1925 - 1930,Introduction to Session,5,Zoom,Adeline Ng | Zeng Li,?
Parallel,PS A: Biomarkers for Parkinson Disease and Parkinsonism,6th May 2021,1930 - 1955,Imaging Biomarkers for Parkinson Disease ,25,Zoom,Chan Ling Ling," Singapore General Hospital, Singapore"
Parallel,PS A: Biomarkers for Parkinson Disease and Parkinsonism,6th May 2021,1955 - 2020,Blood - Based Biomarkers in Parkinson Disease - A Singapore Experience ,25,Zoom,Adeline Ng,"National Neuroscience Institute, Singapore"
Parallel,PS A: Biomarkers for Parkinson Disease and Parkinsonism,6th May 2021,2020 - 2045,Metabolite Biomarkers in Parkinson Disease and Parkinsonism,25,Zoom,Taku Hatano,"Juntendo University, Japan "
